month,year,county,num_retailers,num_returns,gross_sales,retail_sales,state_net_taxable_sales,state_sales_tax
10,2019,Washington,,1485,9535000,8681000,3560000,100000
7,2018,Phillips,,838,19029000,17871000,2635000,74000
1,2018,Grand,,2948,63974000,62423000,32522000,913000
7,2015,Eagle,,4827,213812,203382,136723,3850
10,2018,Denver,,11982,3771610000,2400523000,1527542000,43175000
6,2015,Rio Blanco,,937,32500,22361,8551,240
5,2018,Bent,,635,3511000,3325000,1444000,40000
12,2019,Kiowa,,917,8715000,4812000,1397000,40000
5,2016,Saguache,,831,12067000,11835000,2112000,59000
3,2019,Prowers,,1806,38657000,27379000,12468000,350000
7,2016,Gilpin,,765,10224000,9519000,6875000,255000
9,2020,Mineral,,907,5945000,5591000,3904000,
11,2020,Weld,,46071,1184131000,936753000,467684000,
7,2016,Montezuma,,1667,67252000,55521000,30582000,869000
2,2015,Mesa,,4468,343166,308420,173528,4898
5,2016,Kiowa,,402,2425000,2257000,602000,17000
2,2016,Saguache,,818,4364000,3999000,1766000,50000
10,2017,Boulder,,11208,1112313000,842739000,456655000,12837000
7,2019,Routt,,5381,118949000,105447000,74206000,2085000
1,2019,Pueblo,,5455,491241000,360089000,156415000,4404000
8,2015,Cheyenne,,527,7352,6069,2690,75
2,2020,Alamosa,,2642,51245000,43758000,22196000,
11,2020,Clear Creek,,4156,29433000,24474000,11310000,
8,2018,Grand,,3080,60361000,58480000,38538000,1082000
8,2018,Elbert,,1987,29110000,27190000,14963000,420000
1,2015,Eagle,,4708,293867,281633,195286,5495
10,2019,Park,,3764,22552000,20088000,13247000,372000
4,2020,Washington,,1755,12066000,9787000,4321000,
11,2020,Bent,,1342,7689000,6965000,2230000,
11,2017,Adams,,13563,2645313000,1956853000,768211000,21951000
6,2020,Rio Grande,,3933,44303000,33118000,16180000,
11,2020,Park,,5756,33245000,29085000,15553000,
3,2018,Larimer,,14978,1343039000,1016549000,502371000,14140000
7,2018,Mesa,,5623,483178000,389450000,228892000,6438000
6,2016,Jackson,,517,5722000,4613000,2034000,57000
9,2015,Prowers,,1254,33360,29587,11214,315
12,2018,Morgan,,5459,178300000,144319000,42579000,1197000
10,2017,Pitkin,,2779,84151000,80638000,45720000,1289000
10,2019,Montrose,,4967,127169000,107556000,61400000,1744000
9,2015,Pitkin,,2899,114272,108490,61774,1747
4,2016,Garfield,,4029,213792000,194248000,88974000,2498000
8,2020,San Miguel,,4606,54413000,50246000,37252000,
11,2020,Arapahoe,,43438,2425579000,1886407000,1084970000,
2,2016,Chaffee,,1704,37580000,34836000,18923000,531000
5,2020,San Miguel,,3890,20200000,17430000,11369000,
11,2020,Gunnison,,6107,60591000,52506000,27745000,
8,2019,Las Animas,,2906,43446000,38675000,18632000,523000
3,2016,Conejos,,1004,7868000,6851000,2616000,74000
8,2018,Moffat,,1415,38077000,34665000,17640000,495000
6,2017,Chaffee,,2557,72081000,66798000,38130000,1070000
2,2016,Rio Blanco,,778,31648000,13406000,6045000,170000
2,2020,Crowley,,1028,4787000,3785000,2198000,
11,2020,El Paso,,30025,2157302000,1790670000,1017241000,
7,2017,Jefferson,,15178,1637539000,1451573000,792927000,22290000
2,2015,Rio Grande,,1192,14265,13313,5342,152
